backend,case_name,status,reason,dtype,algorithm,mode,k,n,timing_label,time_ms,timing_label_e2e,time_end_to_end_ms,timing_label_algorithmic,time_algorithmic_ms,bytes_moved,bytes_model,compare_ops,ops_model
cpu,q18_k131072_max,PASS,ok,double,map_reduce,max,131072,262144,Map-reduce top-k end-to-end time (ms),20.025,Map-reduce top-k end-to-end time (ms),20.025,Map-reduce top-k algorithmic time (ms),20.025,4194304,exact,262144,lower-bound
cpu,q19_k8_max,PASS,ok,double,map_reduce,max,8,524288,Map-reduce top-k end-to-end time (ms),0.138,Map-reduce top-k end-to-end time (ms),0.138,Map-reduce top-k algorithmic time (ms),0.138,4194432,exact,524288,lower-bound
cpu,q19_k256_max,PASS,ok,double,map_reduce,max,256,524288,Map-reduce top-k end-to-end time (ms),0.145,Map-reduce top-k end-to-end time (ms),0.145,Map-reduce top-k algorithmic time (ms),0.145,4198400,exact,524288,lower-bound
cpu,q19_k4096_max,PASS,ok,double,map_reduce,max,4096,524288,Map-reduce top-k end-to-end time (ms),1.946,Map-reduce top-k end-to-end time (ms),1.946,Map-reduce top-k algorithmic time (ms),1.946,4259840,exact,524288,lower-bound
cpu,q19_k131072_max,PASS,ok,double,map_reduce,max,131072,524288,Map-reduce top-k end-to-end time (ms),30.039,Map-reduce top-k end-to-end time (ms),30.039,Map-reduce top-k algorithmic time (ms),30.039,6291456,exact,524288,lower-bound
cpu,q20_k8_max,PASS,ok,double,map_reduce,max,8,1048576,Map-reduce top-k end-to-end time (ms),0.191,Map-reduce top-k end-to-end time (ms),0.191,Map-reduce top-k algorithmic time (ms),0.191,8388736,exact,1048576,lower-bound
cpu,q20_k256_max,PASS,ok,double,map_reduce,max,256,1048576,Map-reduce top-k end-to-end time (ms),0.222,Map-reduce top-k end-to-end time (ms),0.222,Map-reduce top-k algorithmic time (ms),0.222,8392704,exact,1048576,lower-bound
cpu,q20_k4096_max,PASS,ok,double,map_reduce,max,4096,1048576,Map-reduce top-k end-to-end time (ms),2.274,Map-reduce top-k end-to-end time (ms),2.274,Map-reduce top-k algorithmic time (ms),2.274,8454144,exact,1048576,lower-bound
cpu,q20_k131072_max,PASS,ok,double,map_reduce,max,131072,1048576,Map-reduce top-k end-to-end time (ms),40.786,Map-reduce top-k end-to-end time (ms),40.786,Map-reduce top-k algorithmic time (ms),40.786,10485760,exact,1048576,lower-bound
cpu,q21_k8_max,PASS,ok,double,map_reduce,max,8,2097152,Map-reduce top-k end-to-end time (ms),0.247,Map-reduce top-k end-to-end time (ms),0.247,Map-reduce top-k algorithmic time (ms),0.247,16777472,exact,2097152,lower-bound
cpu,q21_k256_max,PASS,ok,double,map_reduce,max,256,2097152,Map-reduce top-k end-to-end time (ms),0.332,Map-reduce top-k end-to-end time (ms),0.332,Map-reduce top-k algorithmic time (ms),0.332,16785408,exact,2097152,lower-bound
