source,backend,dtype,algorithm,mode,k,n,dist,seed,rep,file_path,elapsed_seconds,energy_joules,average_watts,baseline_watts,net_energy_joules,net_average_watts,command_exit_code,inproc_counters,inproc_e2e_joules,inproc_algo_joules,inproc_e2e_seconds,inproc_algo_seconds,inproc_net_e2e_joules,inproc_net_algo_joules,inproc_loop_joules,inproc_loop_seconds,core_energy_joules,net_core_energy_joules,board_energy_joules,net_board_energy_joules,board_baseline_watts,core_baseline_watts
rapl,cpu,float,bitonic,max,8,1048576,uniform,20000168,2,bench/results/raw/energy/measurements/20260825_014636_cpu_float_bitonic_q20_k8_max_uniform_s20000168_rep2_rapl.txt,0.034456,0.644421,18.702585,5.421215,0.457626,13.28137,0,rapl:package+core,0.416176,0.416176,0.011396,0.011396,0.35439583386,0.35439583386,0.473989,0.018732,0.059491,0.058092,,,,0.040593
rapl,cpu,float,bitonic,max,8,1048576,uniform,20000168,3,bench/results/raw/energy/measurements/20260825_014636_cpu_float_bitonic_q20_k8_max_uniform_s20000168_rep3_rapl.txt,0.033517,0.641278,19.132984,5.421215,0.459576,13.711769,0,rapl:package+core,0.299529,0.299529,0.010892,0.010892,0.24048112622,0.24048112622,0.474234,0.017927,0.05496,0.053599,,,,0.040593
rapl,cpu,float,bitonic,max,131072,2097152,uniform,21131235,1,bench/results/raw/energy/measurements/20260825_014636_cpu_float_bitonic_q21_k131072_max_uniform_s21131235_rep1_rapl.txt,0.352196,10.595201,30.083254,5.421215,8.685871,24.662039,0,rapl:package+core,8.204578,8.204578,0.252653,0.252653,6.8348917666,6.8348917666,9.105547,0.275074,1.150285,1.135988,,,,0.040593
rapl,cpu,float,bitonic,max,131072,2097152,uniform,21131235,2,bench/results/raw/energy/measurements/20260825_014636_cpu_float_bitonic_q21_k131072_max_uniform_s21131235_rep2_rapl.txt,0.348358,10.556018,30.302199,5.421215,8.667494,24.880984,0,rapl:package+core,8.246889,8.246889,0.249335,0.249335,6.89519035797,6.89519035797,9.069141,0.271625,1.13193,1.117789,,,,0.040593
rapl,cpu,float,bitonic,max,131072,2097152,uniform,21131235,3,bench/results/raw/energy/measurements/20260825_014636_cpu_float_bitonic_q21_k131072_max_uniform_s21131235_rep3_rapl.txt,0.348199,10.544865,30.284049,5.421215,8.657205,24.862834,0,rapl:package+core,7.942199,7.942199,0.249615,0.249615,6.58898241778,6.58898241778,9.113192,0.271681,1.139086,1.124952,,,,0.040593
rapl,cpu,float,bitonic,max,256,2097152,uniform,21000419,1,bench/results/raw/energy/measurements/20260825_014636_cpu_float_bitonic_q21_k256_max_uniform_s21000419_rep1_rapl.txt,0.126262,3.634333,28.784126,5.421215,2.949841,23.362911,0,rapl:package+core,2.706908,2.706908,0.080713,0.080713,2.26934547371,2.26934547371,3.116523,0.097874,0.389155,0.38403,,,,0.040593
rapl,cpu,float,bitonic,max,256,2097152,uniform,21000419,2,bench/results/raw/energy/measurements/20260825_014636_cpu_float_bitonic_q21_k256_max_uniform_s21000419_rep2_rapl.txt,0.1268,3.643855,28.737013,5.421215,2.956445,23.315798,0,rapl:package+core,2.651947,2.651947,0.080916,0.080916,2.21328396706,2.21328396706,3.147573,0.097975,0.388865,0.383718,,,,0.040593
rapl,cpu,float,bitonic,max,256,2097152,uniform,21000419,3,bench/results/raw/energy/measurements/20260825_014636_cpu_float_bitonic_q21_k256_max_uniform_s21000419_rep3_rapl.txt,0.137073,3.894818,28.41413,5.421215,3.151714,22.992915,0,rapl:package+core,2.76391,2.76391,0.083798,0.083798,2.30962302543,2.30962302543,3.245407,0.101914,0.403178,0.397614,,,,0.040593
rapl,cpu,float,bitonic,max,4096,2097152,uniform,21004259,1,bench/results/raw/energy/measurements/20260825_014636_cpu_float_bitonic_q21_k4096_max_uniform_s21004259_rep1_rapl.txt,0.202451,5.869783,28.9936,5.421215,4.772253,23.572385,0,rapl:package+core,4.531322,4.531322,0.144674,0.144674,3.74701314109,3.74701314109,5.166084,0.16666,0.641065,0.632847,,,,0.040593
rapl,cpu,float,bitonic,max,4096,2097152,uniform,21004259,2,bench/results/raw/energy/measurements/20260825_014636_cpu_float_bitonic_q21_k4096_max_uniform_s21004259_rep2_rapl.txt,0.196438,5.758293,29.313564,5.421215,4.693361,23.892349,0,rapl:package+core,4.254128,4.254128,0.137797,0.137797,3.50710083664,3.50710083664,5.029906,0.160246,0.634229,0.626255,,,,0.040593
